,datetime,Open,Close,High,Low,Volume,AdjClose,serial_number
1063,1974-06-10 00:00:00-04:00,14.328125,14.390625,14.40625,14.125,534400.0,1.2473128,1063.0
1064,1974-06-11 00:00:00-04:00,14.3125,14.15625,14.3125,14.140625,488000.0,1.2269983,1064.0
1065,1974-06-12 00:00:00-04:00,14.125,14.046875,14.125,13.921875,545600.0,1.2175187,1065.0
1066,1974-06-13 00:00:00-04:00,14.0625,14.21875,14.265625,14.0625,384000.0,1.232416,1066.0
1067,1974-06-14 00:00:00-04:00,14.171875,13.921875,14.171875,13.921875,502400.0,1.2066844,1067.0
1068,1974-06-17 00:00:00-04:00,13.875,13.671875,13.875,13.640625,446400.0,1.1850153,1068.0
1069,1974-06-18 00:00:00-04:00,13.671875,13.5,13.71875,13.46875,676800.0,1.1701185,1069.0
1070,1974-06-19 00:00:00-04:00,13.5,13.53125,13.65625,13.5,345600.0,1.1728268,1070.0
1071,1974-06-20 00:00:00-04:00,13.53125,13.359375,13.625,13.34375,379200.0,1.1579295,1071.0
1072,1974-06-21 00:00:00-04:00,13.359375,13.3125,13.359375,13.15625,710400.0,1.1538665,1072.0
1073,1974-06-24 00:00:00-04:00,13.3125,13.484375,13.484375,13.203125,350400.0,1.168764,1073.0
1074,1974-06-25 00:00:00-04:00,13.484375,13.84375,13.84375,13.484375,472000.0,1.1999129,1074.0
1075,1974-06-26 00:00:00-04:00,13.78125,13.515625,13.78125,13.5,492800.0,1.1714723,1075.0
1076,1974-06-27 00:00:00-04:00,13.4375,13.25,13.4375,13.203125,536000.0,1.1484486,1076.0
1077,1974-06-28 00:00:00-04:00,13.25,13.296875,13.375,13.125,648000.0,1.1525129,1077.0
1078,1974-07-01 00:00:00-04:00,13.296875,13.296875,13.34375,13.21875,539200.0,1.1525129,1078.0
1079,1974-07-02 00:00:00-04:00,13.296875,13.21875,13.34375,13.140625,534400.0,1.1457409,1079.0
1080,1974-07-03 00:00:00-04:00,13.21875,13.125,13.328125,13.125,707200.0,1.1376152,1080.0
1081,1974-07-05 00:00:00-04:00,13.0703125,12.859375,13.0703125,12.828125,484800.0,1.1145914,1081.0
1082,1974-07-08 00:00:00-04:00,12.640625,12.4375,12.640625,12.3828125,1211200.0,1.0780251,1082.0
1083,1974-07-09 00:00:00-04:00,12.4375,12.609375,12.6875,12.421875,1051200.0,1.0929224,1083.0
1084,1974-07-10 00:00:00-04:00,12.609375,12.359375,12.6875,12.3125,787200.0,1.0712545,1084.0
1085,1974-07-11 00:00:00-04:00,12.359375,12.421875,12.546875,12.265625,1033600.0,1.076671,1085.0
1086,1974-07-12 00:00:00-04:00,12.703125,13.4375,13.4375,12.703125,1243200.0,1.1647002,1086.0
1087,1974-07-15 00:00:00-04:00,13.46875,13.6875,13.8125,13.46875,1065600.0,1.1863698,1087.0
1088,1974-07-16 00:00:00-04:00,13.5,13.359375,13.5,13.3125,692800.0,1.1579295,1088.0
1089,1974-07-17 00:00:00-04:00,13.359375,13.609375,13.609375,13.15625,768000.0,1.1795977,1089.0
1090,1974-07-18 00:00:00-04:00,13.609375,13.5625,13.84375,13.53125,860800.0,1.1755359,1090.0
1091,1974-07-19 00:00:00-04:00,13.5625,13.609375,13.75,13.5625,532800.0,1.1795977,1091.0
1092,1974-07-22 00:00:00-04:00,13.609375,13.7421875,13.7421875,13.421875,588800.0,1.1911094,1092.0
1093,1974-07-23 00:00:00-04:00,13.8125,13.890625,13.9921875,13.8125,793600.0,1.2039764,1093.0
1094,1974-07-24 00:00:00-04:00,13.890625,13.8125,13.921875,13.71875,560000.0,1.1972046,1094.0
1095,1974-07-25 00:00:00-04:00,13.8125,13.421875,13.921875,13.359375,742400.0,1.1633469,1095.0
1096,1974-07-26 00:00:00-04:00,13.40625,12.890625,13.40625,12.796875,782400.0,1.1173,1096.0
1097,1974-07-29 00:00:00-04:00,12.71875,12.6875,12.71875,12.578125,638400.0,1.0996943,1097.0
1098,1974-07-30 00:00:00-04:00,12.6875,12.96875,12.96875,12.640625,536000.0,1.1240716,1098.0
1099,1974-07-31 00:00:00-04:00,12.96875,12.6015625,12.96875,12.6015625,440000.0,1.0922456,1099.0
1100,1974-08-01 00:00:00-04:00,12.6015625,12.609375,12.734375,12.4140625,907200.0,1.0929224,1100.0
1101,1974-08-02 00:00:00-04:00,12.609375,12.546875,12.71875,12.5390625,438400.0,1.0875059,1101.0
1102,1974-08-05 00:00:00-04:00,12.5546875,12.765625,12.9296875,12.5546875,777600.0,1.1064656,1102.0
1103,1974-08-06 00:00:00-04:00,12.9375,13.046875,13.234375,12.9375,1137600.0,1.1308441,1103.0
1104,1974-08-07 00:00:00-04:00,13.046875,13.421875,13.4375,12.984375,1059200.0,1.1633469,1104.0
1105,1974-08-08 00:00:00-04:00,13.421875,13.03125,13.4375,12.9375,1289600.0,1.1374339,1105.0
1106,1974-08-09 00:00:00-04:00,13.03125,13.03125,13.171875,12.875,784000.0,1.1374339,1106.0
1107,1974-08-12 00:00:00-04:00,13.03125,12.6875,13.109375,12.65625,798400.0,1.1074295,1107.0
1108,1974-08-13 00:00:00-04:00,12.6875,12.640625,12.734375,12.484375,686400.0,1.1033385,1108.0
